"","DATA_RESPOSTA","EMAIL","VINCULO","CAMPUS","TIPO_DOMICILIO","IDADE_0_9","IDADE_10_39","IDADE_40_59","IDADE_MAIS_59","DOENCA_CRONICA","QUARTOS_DOMICILIO","ESTUDANTES","PROFESSORES","SERVICOS_ESSENCIAIS","INFORMAIS_AUTONOMOS"
"415","26/03/2020 18:19:57","def03ac3c62acda742ea3b3eee24969c","Aluno","Salinas","Apartamento",0,4,0,0,0,2,4,0,0,0
"416","26/03/2020 18:19:59","43d1c33f06f36ad4095da7c592057de8","Professor","Januária","Casa",0,2,1,0,1,3,1,1,0,0
"417","26/03/2020 18:20:14","5aa294be27df7abab82d8f46dd960ac2","Aluno","Salinas","República",0,6,2,0,2,2,3,0,0,3
"418","26/03/2020 18:20:31","75c2ac2736bef0eb6ec167347dae0ad2","Professor","Montes Claros","Casa",1,2,0,0,1,9,0,1,0,0
"419","26/03/2020 18:21:59","5a69ed06c5be4ce862d2e7ac4a2572ac","Professor","Montes Claros","Casa",0,1,2,0,3,4,0,1,0,0
"420","26/03/2020 18:22:30","599ffbb12a93a84b534edfcd12b9ec6b","Aluno","Janaúba","Apartamento",0,2,0,0,0,2,1,0,1,0
"421","26/03/2020 18:23:32","49db7949a75ae2bf91d2d8e0572499c2","Aluno","Montes Claros","Casa",0,5,0,1,2,3,4,0,0,0
"422","26/03/2020 18:23:45","ad19858f3fa2bff08eabe36610ec9377","Aluno","Januária","República",0,13,0,1,2,15,13,1,0,1
"423","26/03/2020 18:24:49","4d365a8db2510a5db2eebaa44b45afaa","Aluno","Salinas","Apartamento",0,3,0,0,0,2,3,0,2,0
"424","26/03/2020 18:24:58","156d2e5b229af0b363b7c11ee50d7f53","Aluno","Araçuaí","Casa",1,2,0,0,0,3,2,0,0,1
"427","26/03/2020 18:27:55","ef9c36902907f41cfb60efb767e3998a","Aluno","Januária","Casa",2,4,2,0,0,3,1,0,3,0
"428","26/03/2020 18:28:57","09559de38c98b40e1bffdf7a3c18a0bd","Aluno","Salinas","Casa",0,1,1,1,1,2,2,1,0,0
